date,state,tot_cases,new_cases,administered_dose1_recip,series_complete_yes,new_dose_1,new_series_completed
2020-10-08,OH,164262.0,1539.0,0.0,0.0,0.0,0.0
2020-10-09,OH,166102.0,1840.0,0.0,0.0,0.0,0.0
2020-10-10,OH,167458.0,1356.0,0.0,0.0,0.0,0.0
2020-10-11,OH,168749.0,1291.0,0.0,0.0,0.0,0.0
2020-10-12,OH,170179.0,1430.0,0.0,0.0,0.0,0.0
2020-10-13,OH,171626.0,1447.0,0.0,0.0,0.0,0.0
2020-10-14,OH,173665.0,2039.0,0.0,0.0,0.0,0.0
2020-10-15,OH,175843.0,2178.0,0.0,0.0,0.0,0.0
2020-10-16,OH,177991.0,2148.0,0.0,0.0,0.0,0.0
2020-10-17,OH,180225.0,2234.0,0.0,0.0,0.0,0.0
2020-10-18,OH,181787.0,1562.0,0.0,0.0,0.0,0.0
2020-10-19,OH,183624.0,1837.0,0.0,0.0,0.0,0.0
2020-10-20,OH,185639.0,2015.0,0.0,0.0,0.0,0.0
2020-10-21,OH,188005.0,2366.0,0.0,0.0,0.0,0.0
2020-10-22,OH,190430.0,2425.0,0.0,0.0,0.0,0.0
2020-10-23,OH,192948.0,2518.0,0.0,0.0,0.0,0.0
2020-10-24,OH,195806.0,2858.0,0.0,0.0,0.0,0.0
2020-10-25,OH,198115.0,2309.0,0.0,0.0,0.0,0.0
2020-10-26,OH,200231.0,2116.0,0.0,0.0,0.0,0.0
2020-10-27,OH,202740.0,2509.0,0.0,0.0,0.0,0.0
2020-10-28,OH,205347.0,2607.0,0.0,0.0,0.0,0.0
2020-10-29,OH,208937.0,3590.0,0.0,0.0,0.0,0.0
2020-10-30,OH,212782.0,3845.0,0.0,0.0,0.0,0.0
2020-10-31,OH,215697.0,2915.0,0.0,0.0,0.0,0.0
2020-11-01,OH,219000.0,3303.0,0.0,0.0,0.0,0.0
2020-11-02,OH,221909.0,2909.0,0.0,0.0,0.0,0.0
2020-11-03,OH,226138.0,4229.0,0.0,0.0,0.0,0.0
2020-11-04,OH,230209.0,4071.0,0.0,0.0,0.0,0.0
2020-11-05,OH,235170.0,4961.0,0.0,0.0,0.0,0.0
2020-11-06,OH,240178.0,5008.0,0.0,0.0,0.0,0.0
2020-11-07,OH,245727.0,5549.0,0.0,0.0,0.0,0.0
2020-11-08,OH,250268.0,4541.0,0.0,0.0,0.0,0.0
2020-11-09,OH,254974.0,4706.0,0.0,0.0,0.0,0.0
2020-11-10,OH,261482.0,6508.0,0.0,0.0,0.0,0.0
2020-11-11,OH,267356.0,5874.0,0.0,0.0,0.0,0.0
2020-11-12,OH,274457.0,7101.0,0.0,0.0,0.0,0.0
2020-11-13,OH,282528.0,8071.0,0.0,0.0,0.0,0.0
2020-11-14,OH,290243.0,7715.0,0.0,0.0,0.0,0.0
2020-11-15,OH,298096.0,7853.0,0.0,0.0,0.0,0.0
2020-11-16,OH,305364.0,7268.0,0.0,0.0,0.0,0.0
2020-11-17,OH,312443.0,7079.0,0.0,0.0,0.0,0.0
2020-11-18,OH,318828.0,6385.0,0.0,0.0,0.0,0.0
2020-11-19,OH,326615.0,7787.0,0.0,0.0,0.0,0.0
2020-11-20,OH,335423.0,8808.0,0.0,0.0,0.0,0.0
2020-11-21,OH,343286.0,7863.0,0.0,0.0,0.0,0.0
2020-11-22,OH,351419.0,8133.0,0.0,0.0,0.0,0.0
2020-11-23,OH,363304.0,11885.0,0.0,0.0,0.0,0.0
2020-11-24,OH,371908.0,8604.0,0.0,0.0,0.0,0.0
2020-11-25,OH,382743.0,10835.0,0.0,0.0,0.0,0.0
2020-11-26,OH,382743.0,0.0,0.0,0.0,0.0,0.0
2020-11-27,OH,399808.0,17065.0,0.0,0.0,0.0,0.0
2020-11-28,OH,406703.0,6895.0,0.0,0.0,0.0,0.0
2020-11-29,OH,414432.0,7729.0,0.0,0.0,0.0,0.0
2020-11-30,OH,421063.0,6631.0,0.0,0.0,0.0,0.0
2020-12-01,OH,430093.0,9030.0,0.0,0.0,0.0,0.0
2020-12-02,OH,437928.0,7835.0,0.0,0.0,0.0,0.0
2020-12-03,OH,446849.0,8921.0,0.0,0.0,0.0,0.0
2020-12-04,OH,456963.0,10114.0,0.0,0.0,0.0,0.0
2020-12-05,OH,467432.0,10469.0,0.0,0.0,0.0,0.0
2020-12-06,OH,475024.0,7592.0,0.0,0.0,0.0,0.0
2020-12-07,OH,484297.0,9273.0,0.0,0.0,0.0,0.0
2020-12-08,OH,510018.0,25721.0,0.0,0.0,0.0,0.0
2020-12-09,OH,520112.0,10094.0,0.0,0.0,0.0,0.0
2020-12-10,OH,520112.0,0.0,0.0,0.0,0.0,0.0
2020-12-11,OH,542209.0,22097.0,0.0,0.0,0.0,0.0
2020-12-12,OH,553461.0,11252.0,0.0,0.0,0.0,0.0
2020-12-13,OH,562727.0,9266.0,0.0,0.0,0.0,0.0
2020-12-14,OH,570602.0,7875.0,0.0,0.0,0.0,0.0
2020-12-15,OH,579357.0,8755.0,0.0,0.0,0.0,0.0
2020-12-16,OH,584766.0,5409.0,4.0,0.0,4.0,0.0
2020-12-17,OH,596178.0,11412.0,467.0,0.0,463.0,0.0
2020-12-18,OH,605862.0,9684.0,1726.0,0.0,1259.0,0.0
2020-12-19,OH,614429.0,8567.0,3733.0,0.0,2007.0,0.0
2020-12-20,OH,622806.0,8377.0,5120.0,0.0,1387.0,0.0
2020-12-21,OH,629354.0,6548.0,5289.0,0.0,169.0,0.0
2020-12-22,OH,637032.0,7678.0,5614.0,1.0,325.0,1.0
2020-12-23,OH,644822.0,7790.0,7973.0,4.0,2359.0,3.0
2020-12-24,OH,653650.0,8828.0,10765.0,4.0,2792.0,0.0
2020-12-25,OH,653650.0,0.0,18398.0,6.0,7633.0,2.0
2020-12-26,OH,664668.0,11018.0,33036.0,7.0,14638.0,1.0
2020-12-27,OH,670525.0,5857.0,33810.0,8.0,774.0,1.0
2020-12-28,OH,675044.0,4519.0,34893.0,8.0,1083.0,0.0
2020-12-29,OH,682570.0,7526.0,48169.0,12.0,13276.0,4.0
2020-12-30,OH,690748.0,8178.0,49068.0,13.0,899.0,1.0
2020-12-31,OH,700380.0,9632.0,65333.0,18.0,16265.0,5.0
2021-01-01,OH,700380.0,0.0,84027.0,22.0,18694.0,4.0
2021-01-02,OH,714673.0,14293.0,107939.0,25.0,23912.0,3.0
2021-01-03,OH,721481.0,6808.0,110994.0,27.0,3055.0,2.0
2021-01-04,OH,727423.0,5942.0,111243.0,28.0,249.0,1.0
2021-01-05,OH,735003.0,7580.0,123406.0,54.0,12163.0,26.0
2021-01-06,OH,742817.0,7814.0,124454.0,161.0,1048.0,107.0
2021-01-07,OH,753068.0,10251.0,125814.0,567.0,1360.0,406.0
2021-01-08,OH,762603.0,9535.0,159103.0,1004.0,33289.0,437.0
2021-01-09,OH,770977.0,8374.0,180589.0,1481.0,21486.0,477.0
2021-01-10,OH,777065.0,6088.0,211380.0,1619.0,30791.0,138.0
2021-01-11,OH,784957.0,7892.0,212673.0,1857.0,1293.0,238.0
2021-01-12,OH,792938.0,7981.0,217833.0,2250.0,5160.0,393.0
2021-01-13,OH,799639.0,6701.0,229116.0,2773.0,11283.0,523.0
2021-01-14,OH,807293.0,7654.0,243265.0,3386.0,14149.0,613.0
2021-01-15,OH,814442.0,7149.0,258198.0,5278.0,14933.0,1892.0
2021-01-16,OH,821507.0,7065.0,298295.0,10469.0,40097.0,5191.0
2021-01-17,OH,826754.0,5247.0,312780.0,11532.0,14485.0,1063.0
2021-01-18,OH,831066.0,4312.0,318772.0,12206.0,5992.0,674.0
2021-01-19,OH,836055.0,4989.0,319894.0,12370.0,1122.0,164.0
2021-01-20,OH,842433.0,6378.0,329842.0,14564.0,9948.0,2194.0
2021-01-21,OH,849704.0,7271.0,331862.0,15466.0,2020.0,902.0
2021-01-22,OH,853982.0,4278.0,363750.0,24809.0,31888.0,9343.0
