Date,AK_V,AL_V,AR_V,AZ_V,CA_V,CO_V,CT_V,DC_V,DE_V,FL_V,GA_V,IA_V,ID_V,IL_V,IN_V,KS_V,KY_V,LA_V,MA_V,MD_V,ME_V,MI_V,MN_V,MO_V,MS_V,MT_V,NC_V,ND_V,NE_V,NH_V,NJ_V,NM_V,NV_V,NY_V,OH_V,OK_V,OR_V,PA_V,RI_V,SC_V,SD_V,TN_V,TX_V,UT_V,VA_V,VT_V,WA_V,WI_V,WV_V,WY_V
2021-01-18,172.0,652.0,1241.0,36.0,8622.0,14.0,1767.0,11.0,51.0,1678.0,39.0,48.0,27.0,641.0,18.0,187.0,232.0,36.0,74.0,516.0,233.0,1196.0,377.0,305.0,136.0,8.0,2825.0,1.0,133.0,11.0,967.0,1111.0,206.0,1847.0,674.0,184.0,1748.0,1873.0,345.0,364.0,2.0,1350.0,,55.0,888.0,119.0,1659.0,720.0,483.0,2.0
2021-01-19,209.0,28.0,1862.0,5537.0,8242.0,26.0,111.0,134.0,57.0,7703.0,6441.0,1296.0,574.0,3203.0,10577.0,360.0,1154.0,1093.0,1281.0,2763.0,42.0,137.0,378.0,3884.0,28.0,448.0,4348.0,527.0,641.0,23.0,3378.0,1527.0,56.0,4822.0,164.0,331.0,1756.0,1374.0,21.0,674.0,120.0,108.0,,6.0,2436.0,55.0,2283.0,4309.0,923.0,194.0
2021-01-20,429.0,4309.0,3405.0,1099.0,15429.0,496.0,3865.0,706.0,246.0,11632.0,920.0,2826.0,1082.0,5891.0,16519.0,1993.0,578.0,3916.0,755.0,4891.0,2157.0,9183.0,4315.0,9577.0,588.0,959.0,8547.0,333.0,2105.0,219.0,6557.0,643.0,1924.0,14654.0,2194.0,1610.0,665.0,7266.0,628.0,3743.0,194.0,13234.0,,888.0,4075.0,333.0,4852.0,6064.0,3625.0,12.0
2021-01-21,1105.0,960.0,2807.0,8247.0,23481.0,633.0,3585.0,155.0,447.0,15215.0,7571.0,5556.0,1503.0,9268.0,548.0,1980.0,2205.0,2547.0,10158.0,3046.0,228.0,23380.0,597.0,7937.0,2027.0,2529.0,8439.0,898.0,2218.0,271.0,7651.0,3464.0,2396.0,21950.0,902.0,5556.0,333.0,12693.0,422.0,4025.0,970.0,14890.0,,1156.0,6459.0,1329.0,6717.0,6795.0,4899.0,1391.0
2021-01-22,1411.0,6135.0,2629.0,8025.0,30575.0,402.0,241.0,259.0,1312.0,17793.0,18183.0,4072.0,845.0,9166.0,11832.0,2634.0,7122.0,1656.0,6615.0,4693.0,2987.0,383.0,18663.0,5677.0,2120.0,116.0,5206.0,4216.0,1672.0,294.0,6333.0,2920.0,1159.0,20820.0,9343.0,403.0,10369.0,16635.0,390.0,2748.0,3072.0,11480.0,,1818.0,3834.0,930.0,6664.0,911.0,2773.0,25.0
2021-01-23,1540.0,104.0,1144.0,6847.0,22625.0,278.0,3301.0,188.0,1346.0,15002.0,316.0,4369.0,499.0,6891.0,511.0,531.0,7011.0,950.0,296.0,4020.0,2700.0,12878.0,2942.0,4474.0,218.0,1645.0,4863.0,277.0,198.0,80.0,4573.0,6363.0,667.0,14475.0,9104.0,3834.0,3616.0,18490.0,195.0,3144.0,2281.0,9473.0,,125.0,2596.0,950.0,5257.0,9461.0,2187.0,443.0
2021-01-24,1076.0,2590.0,673.0,3644.0,15279.0,139.0,4620.0,90.0,830.0,4527.0,80.0,1215.0,462.0,2389.0,50.0,1876.0,682.0,625.0,6535.0,2017.0,1592.0,22.0,4600.0,2489.0,2504.0,884.0,2371.0,1097.0,2496.0,154.0,4749.0,42.0,1254.0,7217.0,8916.0,2439.0,2268.0,4220.0,208.0,3654.0,2281.0,3295.0,,11.0,8668.0,451.0,4501.0,2045.0,791.0,124.0
2021-01-25,493.0,888.0,202.0,4759.0,15597.0,136.0,841.0,46.0,183.0,3119.0,82.0,404.0,288.0,3009.0,8225.0,2925.0,335.0,167.0,1219.0,3084.0,741.0,8971.0,480.0,863.0,151.0,188.0,1277.0,252.0,893.0,61.0,3117.0,734.0,433.0,5806.0,4374.0,66.0,2141.0,5816.0,281.0,608.0,24.0,1884.0,,2585.0,5652.0,107.0,5504.0,863.0,1348.0,16.0
2021-01-26,160.0,2626.0,3952.0,3419.0,18577.0,623.0,3682.0,185.0,268.0,20396.0,6475.0,3599.0,1086.0,8313.0,601.0,1531.0,6176.0,4153.0,7904.0,7435.0,446.0,12060.0,3485.0,3834.0,1698.0,1433.0,1110.0,1375.0,1597.0,247.0,9148.0,992.0,388.0,23268.0,2681.0,1069.0,1699.0,16373.0,541.0,1506.0,444.0,10920.0,,286.0,8120.0,466.0,3079.0,656.0,3594.0,135.0
2021-01-27,1299.0,431.0,4287.0,5531.0,31845.0,429.0,511.0,695.0,778.0,29918.0,25336.0,4570.0,1625.0,14737.0,14007.0,2240.0,7560.0,4964.0,10689.0,9221.0,1827.0,13664.0,11590.0,7158.0,536.0,300.0,23417.0,280.0,7881.0,425.0,9880.0,2782.0,1621.0,26056.0,6321.0,5622.0,4528.0,3753.0,1876.0,5714.0,3268.0,10878.0,,2356.0,8613.0,1510.0,6404.0,5595.0,3904.0,591.0
